partite_perse,player_id,nemesis_id,player_name,nemesis_name
3,105571,105571,Fabricio Neis,Fabricio Neis
3,105589,105589,Gerald Melzer,Gerald Melzer
3,105590,105590,Uladzimir Ignatik,Uladzimir Ignatik
3,105590,105590,Uladzimir Ignatik,Uladzimir Ignatik
3,105595,105595,Dayne Kelly,Dayne Kelly
3,105614,105614,Bradley Klahn,Bradley Klahn
3,105614,105614,Bradley Klahn,Bradley Klahn
3,105614,105614,Bradley Klahn,Bradley Klahn
3,105626,105626,Takanyi Garanganga,Takanyi Garanganga
3,105655,105655,Hiroki Moriya,Hiroki Moriya
3,105655,105655,Hiroki Moriya,Hiroki Moriya
3,105655,105655,Hiroki Moriya,Hiroki Moriya
3,105655,105655,Hiroki Moriya,Hiroki Moriya
3,105657,105657,Marius Copil,Marius Copil
3,105657,105657,Marius Copil,Marius Copil
3,105657,105657,Marius Copil,Marius Copil
3,105657,105657,Marius Copil,Marius Copil
3,105678,105678,Axel Michon,Axel Michon
3,105692,105692,Alessandro Bega,Alessandro Bega
3,105723,105723,Andrey Kuznetsov,Andrey Kuznetsov
3,105723,105723,Andrey Kuznetsov,Andrey Kuznetsov
3,105723,105723,Andrey Kuznetsov,Andrey Kuznetsov
3,105731,105731,Steven Diez,Steven Diez
3,105731,105731,Steven Diez,Steven Diez
3,105731,105731,Steven Diez,Steven Diez
3,105738,105738,Tsung Hua Yang,Tsung Hua Yang
3,105782,105782,Enrique Lopez Perez,Enrique Lopez Perez
3,105782,105782,Enrique Lopez Perez,Enrique Lopez Perez
3,105789,105789,Marc Giner,Marc Giner
3,105806,105806,Mirza Basic,Mirza Basic
3,105806,105806,Mirza Basic,Mirza Basic
3,105806,105806,Mirza Basic,Mirza Basic
3,105826,105826,Alejandro Gomez Gb42,Alejandro Gomez Gb42
3,105841,105841,Lorenzo Giustino,Lorenzo Giustino
3,105841,105841,Lorenzo Giustino,Lorenzo Giustino
3,105841,105841,Lorenzo Giustino,Lorenzo Giustino
3,105841,105841,Lorenzo Giustino,Lorenzo Giustino
3,105841,105841,Lorenzo Giustino,Lorenzo Giustino
3,105841,105841,Lorenzo Giustino,Lorenzo Giustino
3,105871,105871,Sekou Bangoura,Sekou Bangoura
3,105874,105874,Albano Olivetti,Albano Olivetti
3,105877,105877,Emilio Gomez,Emilio Gomez
3,105877,105877,Emilio Gomez,Emilio Gomez
3,105877,105877,Emilio Gomez,Emilio Gomez
3,105899,105899,Martin Cuevas,Martin Cuevas
3,105905,105905,Danilo Petrovic,Danilo Petrovic
3,105943,105943,Federico Gaio,Federico Gaio
3,105943,105943,Federico Gaio,Federico Gaio
3,105943,105943,Federico Gaio,Federico Gaio
3,105943,105943,Federico Gaio,Federico Gaio
3,105943,105943,Federico Gaio,Federico Gaio
3,105943,105943,Federico Gaio,Federico Gaio
3,105952,105952,Renzo Olivo,Renzo Olivo
3,105952,105952,Renzo Olivo,Renzo Olivo
3,105952,105952,Renzo Olivo,Renzo Olivo
3,105952,105952,Renzo Olivo,Renzo Olivo
3,105960,105960,Evan King,Evan King
3,105960,105960,Evan King,Evan King
3,105960,105960,Evan King,Evan King
3,105967,105967,Henri Laaksonen,Henri Laaksonen
3,105967,105967,Henri Laaksonen,Henri Laaksonen
3,105967,105967,Henri Laaksonen,Henri Laaksonen
3,105967,105967,Henri Laaksonen,Henri Laaksonen
3,105967,105967,Henri Laaksonen,Henri Laaksonen
3,105967,105967,Henri Laaksonen,Henri Laaksonen
3,106006,106006,Agustin Velotti,Agustin Velotti
3,106026,106026,Yuki Bhambri,Yuki Bhambri
3,106032,106032,Facundo Arguello,Facundo Arguello
3,106032,106032,Facundo Arguello,Facundo Arguello
3,106032,106032,Facundo Arguello,Facundo Arguello
3,106032,106032,Facundo Arguello,Facundo Arguello
3,106032,106032,Facundo Arguello,Facundo Arguello
3,106032,106032,Facundo Arguello,Facundo Arguello
3,106044,106044,Nicolas Kicker,Nicolas Kicker
3,106044,106044,Nicolas Kicker,Nicolas Kicker
3,106044,106044,Nicolas Kicker,Nicolas Kicker
3,106044,106044,Nicolas Kicker,Nicolas Kicker
3,106057,106057,Facundo Mena,Facundo Mena
3,106058,106058,Jack Sock,Jack Sock
3,106058,106058,Jack Sock,Jack Sock
3,106058,106058,Jack Sock,Jack Sock
3,106058,106058,Jack Sock,Jack Sock
3,106072,106072,Alexey Vatutin,Alexey Vatutin
3,106072,106072,Alexey Vatutin,Alexey Vatutin
3,106072,106072,Alexey Vatutin,Alexey Vatutin
3,106075,106075,Jozef Kovalik,Jozef Kovalik
3,106075,106075,Jozef Kovalik,Jozef Kovalik
3,106099,106099,Salvatore Caruso,Salvatore Caruso
3,106099,106099,Salvatore Caruso,Salvatore Caruso
3,106099,106099,Salvatore Caruso,Salvatore Caruso
3,106099,106099,Salvatore Caruso,Salvatore Caruso
3,106099,106099,Salvatore Caruso,Salvatore Caruso
3,106099,106099,Salvatore Caruso,Salvatore Caruso
3,106110,106110,Filip Horansky,Filip Horansky
3,106110,106110,Filip Horansky,Filip Horansky
3,106110,106110,Filip Horansky,Filip Horansky
3,106120,106120,Ricardo Ojeda Lara,Ricardo Ojeda Lara
3,106121,106121,Taro Daniel,Taro Daniel
3,106121,106121,Taro Daniel,Taro Daniel
3,106121,106121,Taro Daniel,Taro Daniel
3,106121,106121,Taro Daniel,Taro Daniel
3,106121,106121,Taro Daniel,Taro Daniel
3,106137,106137,Tristan Lamasine,Tristan Lamasine
3,106137,106137,Tristan Lamasine,Tristan Lamasine
3,106137,106137,Tristan Lamasine,Tristan Lamasine
3,106177,106177,Oriol Roca Batalla,Oriol Roca Batalla
3,106177,106177,Oriol Roca Batalla,Oriol Roca Batalla
3,106203,106203,Pedro Sakamoto,Pedro Sakamoto
3,106203,106203,Pedro Sakamoto,Pedro Sakamoto
3,106214,106214,Oscar Otte,Oscar Otte
3,106214,106214,Oscar Otte,Oscar Otte
3,106214,106214,Oscar Otte,Oscar Otte
3,106218,106218,Marcos Giron,Marcos Giron
3,106228,106228,Juan Ignacio Londero,Juan Ignacio Londero
3,106228,106228,Juan Ignacio Londero,Juan Ignacio Londero
3,106228,106228,Juan Ignacio Londero,Juan Ignacio Londero
3,106228,106228,Juan Ignacio Londero,Juan Ignacio Londero
3,106228,106228,Juan Ignacio Londero,Juan Ignacio Londero
3,106234,106234,Aslan Karatsev,Aslan Karatsev
3,106288,106288,Mathias Bourgue,Mathias Bourgue
3,106290,106290,Filip Peliwo,Filip Peliwo
3,106291,106291,Luke Saville,Luke Saville
3,106291,106291,Luke Saville,Luke Saville
3,106291,106291,Luke Saville,Luke Saville
3,106296,106296,Gregoire Barrere,Gregoire Barrere
3,106296,106296,Gregoire Barrere,Gregoire Barrere
3,106331,106331,Christopher O'Connell,Christopher O'Connell
3,106348,106348,Evgeny Karlovskiy,Evgeny Karlovskiy
3,106348,106348,Evgeny Karlovskiy,Evgeny Karlovskiy
3,106353,106353,Pedja Krstin,Pedja Krstin
3,106353,106353,Pedja Krstin,Pedja Krstin
3,106380,106380,Gonzalo Villanueva,Gonzalo Villanueva
3,106390,106390,Matteo Donati,Matteo Donati
3,106390,106390,Matteo Donati,Matteo Donati
3,106390,106390,Matteo Donati,Matteo Donati
3,106390,106390,Matteo Donati,Matteo Donati
3,106398,106398,Pedro Cachin,Pedro Cachin
3,106398,106398,Pedro Cachin,Pedro Cachin
3,106408,106408,Mario Vilella Martinez,Mario Vilella Martinez
3,106415,106415,Yoshihito Nishioka,Yoshihito Nishioka
3,106415,106415,Yoshihito Nishioka,Yoshihito Nishioka
3,106415,106415,Yoshihito Nishioka,Yoshihito Nishioka
3,106415,106415,Yoshihito Nishioka,Yoshihito Nishioka
3,106420,106420,Gianluigi Quinzi,Gianluigi Quinzi
3,106423,106423,Thanasi Kokkinakis,Thanasi Kokkinakis
3,109054,109054,Daniel Masur,Daniel Masur
3,109054,109054,Daniel Masur,Daniel Masur
3,109054,109054,Daniel Masur,Daniel Masur
3,109054,109054,Daniel Masur,Daniel Masur
3,109054,109054,Daniel Masur,Daniel Masur
3,109303,109303,Stefano Napolitano,Stefano Napolitano
3,109303,109303,Stefano Napolitano,Stefano Napolitano
3,109303,109303,Stefano Napolitano,Stefano Napolitano
3,109303,109303,Stefano Napolitano,Stefano Napolitano
3,109686,109686,Riccardo Bonadio,Riccardo Bonadio
3,109739,109739,Maximilian Marterer,Maximilian Marterer
3,109739,109739,Maximilian Marterer,Maximilian Marterer
3,109739,109739,Maximilian Marterer,Maximilian Marterer
3,110536,110536,Kevin King,Kevin King
3,110536,110536,Kevin King,Kevin King
3,110536,110536,Kevin King,Kevin King
3,110536,110536,Kevin King,Kevin King
3,111187,111187,Kaichi Uchida,Kaichi Uchida
3,111187,111187,Kaichi Uchida,Kaichi Uchida
3,111190,111190,Zhizhen Zhang,Zhizhen Zhang
3,111192,111192,Lucas Miedler,Lucas Miedler
3,111200,111200,Elias Ymer,Elias Ymer
3,111200,111200,Elias Ymer,Elias Ymer
3,111202,111202,Hyeon Chung,Hyeon Chung
3,111202,111202,Hyeon Chung,Hyeon Chung
3,111202,111202,Hyeon Chung,Hyeon Chung
3,111436,111436,Nick Chappell,Nick Chappell
3,111451,111451,Bradley Mousley,Bradley Mousley
3,111460,111460,Quentin Halys,Quentin Halys
3,111511,111511,Noah Rubin,Noah Rubin
3,111511,111511,Noah Rubin,Noah Rubin
3,111511,111511,Noah Rubin,Noah Rubin
3,111515,111515,Thai Son Kwiatkowski,Thai Son Kwiatkowski
3,111515,111515,Thai Son Kwiatkowski,Thai Son Kwiatkowski
3,111574,111574,Jc Aragone,Jc Aragone
3,111576,111576,Sumit Nagal,Sumit Nagal
3,111576,111576,Sumit Nagal,Sumit Nagal
3,111577,111577,Jared Donaldson,Jared Donaldson
3,111581,111581,Michael Mmoh,Michael Mmoh
3,111581,111581,Michael Mmoh,Michael Mmoh
3,111582,111582,Jared Hiltzik,Jared Hiltzik
3,111765,111765,Evan Song,Evan Song
3,111765,111765,Evan Song,Evan Song
3,111795,111795,Filippo Baldi,Filippo Baldi
3,111795,111795,Filippo Baldi,Filippo Baldi
3,111795,111795,Filippo Baldi,Filippo Baldi
3,111795,111795,Filippo Baldi,Filippo Baldi
3,111795,111795,Filippo Baldi,Filippo Baldi
3,111815,111815,Cameron Norrie,Cameron Norrie
3,111815,111815,Cameron Norrie,Cameron Norrie
3,111815,111815,Cameron Norrie,Cameron Norrie
3,111815,111815,Cameron Norrie,Cameron Norrie
3,111815,111815,Cameron Norrie,Cameron Norrie
3,117356,117356,Cem Ilkel,Cem Ilkel
3,117356,117356,Cem Ilkel,Cem Ilkel
3,122078,122078,Dmitry Popko,Dmitry Popko
3,122109,122109,Sanjar Fayziev,Sanjar Fayziev
3,122351,122351,Johannes Haerteis,Johannes Haerteis
3,122669,122669,Juan Pablo Varillas,Juan Pablo Varillas
3,123819,123819,Goncalo Oliveira,Goncalo Oliveira
3,123819,123819,Goncalo Oliveira,Goncalo Oliveira
3,123819,123819,Goncalo Oliveira,Goncalo Oliveira
3,123819,123819,Goncalo Oliveira,Goncalo Oliveira
3,123819,123819,Goncalo Oliveira,Goncalo Oliveira
3,123828,123828,Jan Choinski,Jan Choinski
3,123921,123921,Calvin Hemery,Calvin Hemery
3,124014,124014,Ernesto Escobedo,Ernesto Escobedo
3,124014,124014,Ernesto Escobedo,Ernesto Escobedo
3,124116,124116,Sebastian Ofner,Sebastian Ofner
3,124116,124116,Sebastian Ofner,Sebastian Ofner
3,124186,124186,Alexandre Muller,Alexandre Muller
3,125802,125802,Ilya Ivashka,Ilya Ivashka
3,125802,125802,Ilya Ivashka,Ilya Ivashka
3,125802,125802,Ilya Ivashka,Ilya Ivashka
3,125802,125802,Ilya Ivashka,Ilya Ivashka
3,126127,126127,Benjamin Bonzi,Benjamin Bonzi
3,126128,126128,Roman Safiullin,Roman Safiullin
3,126149,126149,Gianluca Mager,Gianluca Mager
3,126149,126149,Gianluca Mager,Gianluca Mager
3,126149,126149,Gianluca Mager,Gianluca Mager
3,126149,126149,Gianluca Mager,Gianluca Mager
3,126149,126149,Gianluca Mager,Gianluca Mager
3,126156,126156,Antoine Hoang,Antoine Hoang
3,126208,126208,Yusuke Takahashi,Yusuke Takahashi
3,126208,126208,Yusuke Takahashi,Yusuke Takahashi
3,126237,126237,Gian Marco Moroni,Gian Marco Moroni
3,126504,126504,Andrea Pellegrino,Andrea Pellegrino
3,126504,126504,Andrea Pellegrino,Andrea Pellegrino
3,126504,126504,Andrea Pellegrino,Andrea Pellegrino
3,126504,126504,Andrea Pellegrino,Andrea Pellegrino
3,126504,126504,Andrea Pellegrino,Andrea Pellegrino
3,126535,126535,Carlos Taberner,Carlos Taberner
