date_id,year,quarter,month_of_year,month,day_of_month,day,week_of_year
202041207,2020,4,12,December,7,Monday,50
201830720,2018,3,7,July,20,Friday,29
201910209,2019,1,2,February,9,Saturday,06
201930812,2019,3,8,August,12,Monday,33
202110301,2021,1,3,March,1,Monday,09
201730710,2017,3,7,July,10,Monday,28
202041221,2020,4,12,December,21,Monday,52
201710227,2017,1,2,February,27,Monday,09
202041214,2020,4,12,December,14,Monday,51
201820620,2018,2,6,June,20,Wednesday,25
201920610,2019,2,6,June,10,Monday,24
201630905,2016,3,9,September,5,Monday,36
201941230,2019,4,12,December,30,Monday,01
201630711,2016,3,7,July,11,Monday,28
201641114,2016,4,11,November,14,Monday,46
202130816,2021,3,8,August,16,Monday,33
201820528,2018,2,5,May,28,Monday,22
201930722,2019,3,7,July,22,Monday,30
201941216,2019,4,12,December,16,Monday,51
201820409,2018,2,4,April,9,Monday,15
201630926,2016,3,9,September,26,Monday,39
201710109,2017,1,1,January,9,Monday,02
201941123,2019,4,11,November,23,Saturday,47
201820406,2018,2,4,April,6,Friday,14
201820521,2018,2,5,May,21,Monday,21
201641205,2016,4,12,December,5,Monday,49
201910208,2019,1,2,February,8,Friday,06
201820621,2018,2,6,June,21,Thursday,25
201630822,2016,3,8,August,22,Monday,34
202110110,2021,1,1,January,10,Sunday,01
201820420,2018,2,4,April,20,Friday,16
202120503,2021,2,5,May,3,Monday,18
201830721,2018,3,7,July,21,Saturday,29
201910325,2019,1,3,March,25,Monday,13
201941014,2019,4,10,October,14,Monday,42
201620425,2016,2,4,April,25,Monday,17
201710306,2017,1,3,March,6,Monday,10
201630801,2016,3,8,August,1,Monday,31
201910207,2019,1,2,February,7,Thursday,06
201620516,2016,2,5,May,16,Monday,20
201810202,2018,1,2,February,2,Friday,05
201941121,2019,4,11,November,21,Thursday,47
201830709,2018,3,7,July,9,Monday,28
201930729,2019,3,7,July,29,Monday,31
202120419,2021,2,4,April,19,Monday,16
201641219,2016,4,12,December,19,Monday,51
201930902,2019,3,9,September,2,Monday,36
201730814,2017,3,8,August,14,Monday,33
201941125,2019,4,11,November,25,Monday,48
201720508,2017,2,5,May,8,Monday,19
201841110,2018,4,11,November,10,Saturday,45
201810319,2018,1,3,March,19,Monday,12
201730721,2017,3,7,July,21,Friday,29
201941122,2019,4,11,November,22,Friday,47
201741204,2017,4,12,December,4,Monday,49
201710313,2017,1,3,March,13,Monday,11
201720515,2017,2,5,May,15,Monday,20
202120614,2021,2,6,June,14,Monday,24
201710123,2017,1,1,January,23,Monday,04
202030921,2020,3,9,September,21,Monday,39
201620530,2016,2,5,May,30,Monday,22
202010205,2020,1,2,February,5,Wednesday,06
202110214,2021,1,2,February,14,Sunday,06
202110106,2021,1,1,January,6,Wednesday,01
202110215,2021,1,2,February,15,Monday,07
201730703,2017,3,7,July,3,Monday,27
202110124,2021,1,1,January,24,Sunday,03
201841123,2018,4,11,November,23,Friday,47
201830820,2018,3,8,August,20,Monday,34
201710211,2017,1,2,February,11,Saturday,06
202130724,2021,3,7,July,24,Saturday,29
201830917,2018,3,9,September,17,Monday,38
201910206,2019,1,2,February,6,Wednesday,06
201730918,2017,3,9,September,18,Monday,38
202010306,2020,1,3,March,6,Friday,10
201820430,2018,2,4,April,30,Monday,18
201820407,2018,2,4,April,7,Saturday,14
201941124,2019,4,11,November,24,Sunday,47
202110213,2021,1,2,February,13,Saturday,06
201841001,2018,4,10,October,1,Monday,40
201841022,2018,4,10,October,22,Monday,43
201810203,2018,1,2,February,3,Saturday,05
201730717,2017,3,7,July,17,Monday,29
201630829,2016,3,8,August,29,Monday,35
202130809,2021,3,8,August,9,Monday,32
202030824,2020,3,8,August,24,Monday,35
201820507,2018,2,5,May,7,Monday,19
201730828,2017,3,8,August,28,Monday,35
201920418,2019,2,4,April,18,Thursday,16
201741016,2017,4,10,October,16,Monday,42
201741127,2017,4,11,November,27,Monday,48
201741120,2017,4,11,November,20,Monday,47
201820623,2018,2,6,June,23,Saturday,25
202041228,2020,4,12,December,28,Monday,53
201930930,2019,3,9,September,30,Monday,40
202130823,2021,3,8,August,23,Monday,34
201841231,2018,4,12,December,31,Monday,01
201930819,2019,3,8,August,19,Monday,34
201741030,2017,4,10,October,30,Monday,44
202010206,2020,1,2,February,6,Thursday,06
201810207,2018,1,2,February,7,Wednesday,06
201920624,2019,2,6,June,24,Monday,26
201930708,2019,3,7,July,8,Monday,28
202110202,2021,1,2,February,2,Tuesday,05
202120621,2021,2,6,June,21,Monday,25
201741002,2017,4,10,October,2,Monday,40
201620523,2016,2,5,May,23,Monday,21
201910211,2019,1,2,February,11,Monday,07
202041109,2020,4,11,November,9,Monday,46
201620502,2016,2,5,May,2,Monday,18
201920416,2019,2,4,April,16,Tuesday,16
201620412,2016,2,4,April,12,Tuesday,15
201610206,2016,1,2,February,6,Saturday,05
201941202,2019,4,12,December,2,Monday,49
202120426,2021,2,4,April,26,Monday,17
202041005,2020,4,10,October,5,Monday,41
201620627,2016,2,6,June,27,Monday,26
201920422,2019,2,4,April,22,Monday,17
201830702,2018,3,7,July,2,Monday,27
201720619,2017,2,6,June,19,Monday,25
201710210,2017,1,2,February,10,Friday,06
202030928,2020,3,9,September,28,Monday,40
202030914,2020,3,9,September,14,Monday,38
202110315,2021,1,3,March,15,Monday,11
201720522,2017,2,5,May,22,Monday,21
201930701,2019,3,7,July,1,Monday,27
201630912,2016,3,9,September,12,Monday,37
201841210,2018,4,12,December,10,Monday,50
201841029,2018,4,10,October,29,Monday,44
201610104,2016,1,1,January,4,Monday,01
202010106,2020,1,1,January,6,Monday,02
201920506,2019,2,5,May,6,Monday,19
201930914,2019,3,9,September,14,Saturday,37
202110104,2021,1,1,January,4,Monday,01
202120405,2021,2,4,April,5,Monday,14
202120417,2021,2,4,April,17,Saturday,15
201610222,2016,1,2,February,22,Monday,08
201720626,2017,2,6,June,26,Monday,26
202110308,2021,1,3,March,8,Monday,10
201910225,2019,1,2,February,25,Monday,09
201841119,2018,4,11,November,19,Monday,47
202120517,2021,2,5,May,17,Monday,20
201920401,2019,2,4,April,1,Monday,14
201941111,2019,4,11,November,11,Monday,46
201620413,2016,2,4,April,13,Wednesday,15
201741111,2017,4,11,November,11,Saturday,45
201620404,2016,2,4,April,4,Monday,14
201741023,2017,4,10,October,23,Monday,43
201841112,2018,4,11,November,12,Monday,46
202010302,2020,1,3,March,2,Monday,10
202041026,2020,4,10,October,26,Monday,44
201710217,2017,1,2,February,17,Friday,07
202120607,2021,2,6,June,7,Monday,23
201730720,2017,3,7,July,20,Thursday,29
201641031,2016,4,10,October,31,Monday,44
201730915,2017,3,9,September,15,Friday,37
201910218,2019,1,2,February,18,Monday,08
201930913,2019,3,9,September,13,Friday,37
201941021,2019,4,10,October,21,Monday,43
202010303,2020,1,3,March,3,Tuesday,10
201941209,2019,4,12,December,9,Monday,50
201641003,2016,4,10,October,3,Monday,40
201930805,2019,3,8,August,5,Monday,32
201941120,2019,4,11,November,20,Wednesday,47
201641121,2016,4,11,November,21,Monday,47
201820605,2018,2,6,June,5,Tuesday,23
201710102,2017,1,1,January,2,Monday,01
201841008,2018,4,10,October,8,Monday,41
201610307,2016,1,3,March,7,Monday,10
202110307,2021,1,3,March,7,Sunday,09
201941028,2019,4,10,October,28,Monday,44
201820618,2018,2,6,June,18,Monday,25
201620620,2016,2,6,June,20,Monday,25
201641125,2016,4,11,November,25,Friday,47
201730724,2017,3,7,July,24,Monday,30
201920617,2019,2,6,June,17,Monday,25
201610118,2016,1,1,January,18,Monday,03
202120429,2021,2,4,April,29,Thursday,17
202010305,2020,1,3,March,5,Thursday,10
201820418,2018,2,4,April,18,Wednesday,16
201610203,2016,1,2,February,3,Wednesday,05
201941104,2019,4,11,November,4,Monday,45
201730807,2017,3,8,August,7,Monday,32
202130712,2021,3,7,July,12,Monday,28
201610314,2016,1,3,March,14,Monday,11
201730821,2017,3,8,August,21,Monday,34
201610215,2016,1,2,February,15,Monday,07
201830806,2018,3,8,August,6,Monday,32
202041102,2020,4,11,November,2,Monday,45
201610111,2016,1,1,January,11,Monday,02
201741031,2017,4,10,October,31,Tuesday,44
201630718,2016,3,7,July,18,Monday,29
202010113,2020,1,1,January,13,Monday,03
201810205,2018,1,2,February,5,Monday,06
202010217,2020,1,2,February,17,Monday,08
202010204,2020,1,2,February,4,Tuesday,06
201810305,2018,1,3,March,5,Monday,10
201720501,2017,2,5,May,1,Monday,18
202110222,2021,1,2,February,22,Monday,08
201830719,2018,3,7,July,19,Thursday,29
201810210,2018,1,2,February,10,Saturday,06
202130802,2021,3,8,August,2,Monday,31
201610201,2016,1,2,February,1,Monday,05
201620411,2016,2,4,April,11,Monday,15
201630815,2016,3,8,August,15,Monday,33
201730722,2017,3,7,July,22,Saturday,29
202030831,2020,3,8,August,31,Monday,36
201941119,2019,4,11,November,19,Tuesday,47
201920417,2019,2,4,April,17,Wednesday,16
201941022,2019,4,10,October,22,Tuesday,43
201720421,2017,2,4,April,21,Friday,16
201710116,2017,1,1,January,16,Monday,03
201830730,2018,3,7,July,30,Monday,31
201920420,2019,2,4,April,20,Saturday,16
201841126,2018,4,11,November,26,Monday,48
201710327,2017,1,3,March,27,Monday,13
201730911,2017,3,9,September,11,Monday,37
201810101,2018,1,1,January,1,Monday,01
202120531,2021,2,5,May,31,Monday,22
202041130,2020,4,11,November,30,Monday,49
201930715,2019,3,7,July,15,Monday,29
201941118,2019,4,11,November,18,Monday,47
201630916,2016,3,9,September,16,Friday,37
201930909,2019,3,9,September,9,Monday,37
201820625,2018,2,6,June,25,Monday,26
