player_id,country_id,name,sex,hand,ht,year_of_birth
221163,HKG,Hoi Ki Jenny Wong,female,U,181,2002
105526,GER,Jan Lennard Struff,male,R,193,1990
214233,FRA,Julie Razafindranaly,female,U,181,1997
215836,BRA,Alessandra Mecchi De Oliveira Silva,female,U,181,1998
215444,BUL,Milka Genkova,female,U,181,1997
144861,AUS,Stefan Skadarka,male,L,193,1998
221058,RUS,Maria Daniels Sierra,female,U,181,1996
221208,RUS,Alena Nikishina,female,U,181,2001
221267,KOR,Eunseo Yun,female,U,181,2001
215424,POL,Patrycja Polanska,female,R,181,1997
209877,USA,Sarah Leonard,female,U,181,1991
222737,CZE,Vivien Charvatova,female,R,181,1991
214655,SRB,Aleksandra Stosic,female,U,181,1997
230130,TUN,Hiba Heni,female,U,181,1997
144799,VEN,Miguel Angel Este,male,U,193,1998
127159,GER,Roman Warias,male,U,193,1988
223673,EGY,Mariam Eltaweel,female,U,181,1988
215049,ITA,Michela Xibilia,female,U,181,1998
215974,AZE,Fidana Khalilzada,female,U,181,2000
213765,GER,Lina Hohnhold,female,U,181,1998
213893,TUR,Irem Kaftan,female,U,181,1999
138328,MEX,Patricio Betancourt Gonzalez,male,R,193,1994
222939,RUS,Olga Evstigneeva,female,U,181,1994
145003,MAD,Lucas Andriamasilalao,male,R,193,1997
133224,ITA,Francesco Ferrari,male,U,193,1997
239428,KOR,Gio Jang,female,U,181,1997
122073,BRA,Fabio Costa,male,U,193,1993
236989,NED,Vanja Gudelj,female,U,181,1993
126609,FIN,Patrik Niklas Salminen,male,L,193,1997
201542,AUS,Olivia Rogowska,female,R,181,1991
106327,USA,Harrison Adams,male,R,193,1994
206871,AUS,Adam Bronka,male,U,193,1999
213997,IND,Shivani Manchanda,female,R,181,1995
209119,MAR,Aissa Benchakroun,male,U,193,1995
206102,IND,Ankita Raina,female,R,181,1993
129255,FRA,Marc Castellana,male,R,193,1980
134780,HUN,Peter Balla,male,U,193,1993
213636,CHN,Yukun Zhang,female,R,181,1995
221961,GBR,Katie Morton,female,U,181,1995
111570,USA,Ronnie Schneider,male,U,193,1994
223115,ITA,Vanessa Sabatini,female,U,181,1994
213892,AZE,Nazrin Jafarova,female,U,181,1997
210174,PAK,Sarah Mahboob Khan,female,R,181,1991
201593,ROU,Irina Camelia Begu,female,R,181,1990
109734,TUN,Skander Mansouri,male,R,193,1995
210917,KOR,Ye Ji Mun,female,U,181,1992
222464,USA,Malissa Vos,female,U,181,1992
