player_id,country_id,name,sex,hand,ht,year_of_birth
221416,USA,Audrey Ann Blakely,female,L,,1994
105434,RSA,Ruan Roelofse,male,R,,1989
201670,SUI,Amra Sadikovic,female,R,,1989
215887,GER,Shaline Doreen Pipa,female,U,,1999
216583,USA,Ellyse Hamlin,female,U,,1996
243420,BEL,Hanne Vandewinkel,female,U,,-1
215502,KOR,Soyeon Park,female,U,,1995
220788,IND,Dhwani Kumar,female,U,,1999
104755,FRA,Richard Gasquet,male,R,185.0,1986
206904,BEL,Gauthier Onclin,male,U,,2001
127606,FRA,Quentin Gueydan,male,U,,1994
220330,FRA,Margaux Orange,female,U,,1999
222447,COL,Angela Bonilla,female,R,,-1
207531,USA,Caleb Chakravarthi,male,U,,1999
111360,AUS,Edward Bourchier,male,R,,1988
210073,KOR,Jin Yoo,female,U,,1992
215232,RUS,Elina Vikhryanova,female,U,,1996
105911,ARG,Andrea Collarini,male,L,,1992
206320,INA,Vita Taher,female,R,,1995
202422,JPN,Shuko Aoyama,female,R,,1987
215393,SRB,Tijana Spasojevic,female,U,,1999
220276,RUS,Evgeniya Burdina,female,U,,2001
216261,UZB,Gulsina Khalimullina,female,U,,2000
104386,SRB,Janko Tipsarevic,male,R,180.0,1984
214865,KAZ,Darya Shevchenko,female,U,,1998
204352,AUT,Yvonne Neuwirth,female,U,,1992
200565,TUR,Cengiz Aksu,male,R,,1998
111568,USA,Michael Zhu,male,U,,1992
221441,USA,Maribella Zamarripa,female,U,,2002
123756,COL,William Jamphier Melano Granados,male,U,,1995
222642,ARG,Renata Gregorutti,female,U,,-1
220277,BUL,Berna Yahe,female,U,,2002
105456,PER,Sergio Galdos,male,R,,1990
220589,RUS,Elina Avanesyan,female,U,,2002
222473,GBR,Morgan Cross,female,U,,-1
126414,KOR,Ji Ha Kim,male,U,,1993
222123,SVK,Lucia Malinak,female,U,,-1
202194,SVK,David Damian Brna,male,U,,1998
238193,ISR,Shay Fadlon,female,U,,-1
202529,RUS,Natalia Orlova,female,R,,1989
122252,CAN,Antoine Leduc,male,U,,1988
224487,TUR,Mihrisah Yapici,female,U,,-1
219940,AUS,Ivana Popovic,female,U,,2000
239182,AUT,Sara Erenda,female,U,,-1
213447,TPE,Yiching Wu,female,U,,1972
103819,SUI,Roger Federer,male,R,185.0,1981
126845,AUS,Max Purcell,male,R,,1998
216139,RUS,Sofya Lansere,female,U,,2000
215016,LUX,Eleonora Molinaro,female,U,,2000
127024,USA,Martin Joyce,male,U,,1996
106016,FRA,Yanais Laurent,male,R,,1992
239412,NED,Rachelle Starreveld,female,U,,-1
202939,JPN,Makoto Ninomiya,female,R,,1994
203534,TUR,Melis Sezer,female,R,,1993
111567,USA,Matthew Kandath,male,U,,1991
220840,ECU,Francesca Lilliegren,female,U,,2001
215479,BEL,Charlotte Swaans,female,U,,1994
206905,BEL,Louis Herman,male,U,,2001
202631,SUI,Lara Michel,female,U,,1991
220768,SWE,Leticia Temirhanova,female,R,,2001
105533,RUS,Dmitry Surchenko,male,U,,1990
201529,USA,Kristie Ahn,female,R,,1992
124126,TUR,Sarp Agabigun,male,R,,1997
221588,JPN,Momoko Nagato,female,U,,2001
211755,LAT,Laura Gulbe,female,U,,1995
213888,BEL,Britt Geukens,female,R,,1996
213583,GER,Tatjana Maria,female,R,,1987
215064,USA,Maria Mateas,female,U,,1999
216198,ESP,Ana Giraldi Requena,female,U,,2000
219693,INA,Putri Sanjungan Insani,female,R,,1999
222140,JPN,Mua Shigeta,female,U,,-1
213926,ITA,Bianca Turati,female,U,,1997
206051,SRB,Marina Kachar,female,U,,1992
222336,PER,Valeria Castro,female,U,,-1
110647,SWE,Filip Bergevi,male,R,,1994
206920,ECU,Ricardo Alban,male,U,,2001
104499,TPE,Jimmy Wang,male,R,178.0,1985
241732,DEN,Cecilie Wiche,female,U,,-1
126546,BRA,Gabriel De Andrade Bendazoli,male,R,,1996
207480,MAR,Ismail Saadi,male,R,,2001
127984,GER,Felix Rauch,male,U,,1996
221549,FRA,Mathilde Dury,female,U,,1998
123854,GBR,Luke Johnson,male,R,,1994
209916,SRB,Marko Topo,male,U,,2003
216026,MRI,Olivia Robert,female,U,,1999
117357,AUS,Omar Jasika,male,L,,1997
105936,SRB,Filip Krajinovic,male,R,185.0,1992
122589,TUR,Sefa Suluoglu,male,U,,1995
204286,KOR,Seung Yeon Hong,female,U,,1992
215865,IRL,Anna Bowtell,female,U,,1999
208232,KOR,Seounghun Lee,male,U,,1995
213541,AUS,Alexandra Osborne,female,U,,1995
110778,BRA,Joao Menezes,male,R,,1996
215384,USA,Miranda Ramirez,female,R,,1999
104371,CZE,Ivo Minar,male,R,183.0,1984
222300,ARG,Camila Antonella Neyra,female,U,,-1
222303,PER,Michela Montori Rodriguez,female,U,,-1
214860,ROU,Karola Patricia Bejenaru,female,R,,1997
119628,GER,Jens Janssen,male,U,,1983
212022,INA,Rifanty Kahfiani,female,R,,1998
233747,SVK,Nina Vargova,female,U,,-1
202183,BRA,Gabriel Decamps,male,U,,1999
214880,MDA,Iana Tishchenko,female,R,,1996
200230,USA,Alexander Brown,male,U,,1999
210902,USA,Spencer Liang,female,U,,1995
220738,NED,Sylvia Chidera Oreigbemileke Okafor,female,U,,2000
217993,GBR,Alicia Robinson,female,R,,1993
239160,RUS,Arina Arifullina,female,U,,-1
242450,ITA,Sofia Avataneo,female,U,,-1
206184,NED,Kelly Versteeg,female,U,,1994
238332,ISR,Noa Minzari,female,U,,-1
202488,UKR,Valentyna Ivakhnenko,female,R,,1993
221988,CAN,Bianca Jolie Fernandez,female,R,,2004
222760,GER,Michaela Niedermeier,female,R,,-1
223269,SVK,Lucia Hanesova,female,U,,-1
220905,AUS,Tayla Whitehouse,female,R,,2001
133764,ITA,Kevin Portmann,male,R,,1993
203468,KAZ,Alexandra Grinchishina,female,U,,1995
105877,ECU,Emilio Gomez,male,R,,1991
215385,AUT,Lisa Friess,female,U,,1997
126758,SWE,Simon Freund,male,U,,1996
200033,USA,Serena Williams,female,R,175.0,1981
221820,PAN,Aranza Lailu Benitez Ellis,female,U,,2000
223009,IND,Aanisha Rahul Shewate Aanisha Rahul Shewate,female,U,,-1
216329,THA,Lunda Kumhom,female,U,,2002
221358,RUS,Diana Nekhorosheva,female,U,,2002
214487,ROU,Ioana Minca,female,U,,1998
220803,ARG,Candela Bonivardi,female,U,,1999
234506,GBR,Isabelle Cherny,female,U,,-1
208809,ESP,Nicolas Herrero Cuesta,male,U,,2002
219461,POR,Ines Teixeira,female,U,,1996
206096,UKR,Viktoriya Lushkova,female,R,,1996
105331,ROU,Petru Alexandru Luncanu,male,L,185.0,1989
106040,GER,Peter Heller,male,R,,1992
207809,RSA,Khololwam Montsi,male,R,,2002
222845,POL,Matylda Burylo,female,U,,-1
230871,FRA,Souhila Aouni,female,U,,-1
214456,CAN,Anjana Suresh,female,R,,1998
220517,FRA,Ana Stefanovic,female,U,,2000
241725,NED,Laila Ghazouani,female,U,,-1
221992,EGY,Mariam Samy,female,U,,-1
203318,TPE,Shu Ying Hsieh,female,R,,1993
221501,COL,Antonia Samudio,female,R,,2001
221459,ITA,Emily Di Giannantonio,female,U,,2002
205792,AUS,Natalie Barbir,female,R,,1990
105336,USA,Nicolas Meister,male,U,,1989
221353,GER,Julia Traub,female,U,,2002
241723,BEL,Lucie Rabiot,female,U,,-1
105464,INA,Christopher Rungkat,male,R,,1990
222503,ROU,Francesca Andrea Feodorov,female,U,,-1
105788,GER,Jakob Sude,male,U,,1991
221407,RUS,Oksana Selekhmeteva,female,L,,2003
220162,IRL,Marie Perla Biansumba,female,U,,2000
240167,IND,Vineetha Mummadi,female,U,,-1
215970,POL,Stefania Rogozinska Dzik,female,U,,2001
241019,UKR,Sofiia Zhylchuk,female,U,,-1
125800,GBR,Jack Findel Hawkins,male,U,,1994
215760,SLO,Nina Kolar,female,U,,-1
214548,ESP,Laura Marti,female,U,,1998
122592,ISR,Orel Ovil,male,R,,1996
208222,KOR,Young Seok Lee,male,R,,1998
204415,USA,Alexandra Riley,female,U,,1991
222465,USA,Elyssa Ducret,female,U,,-1
121497,ROU,Mircea Alexandru Jecan,male,L,,1988
215324,KOR,Do Hee Bae,female,L,,1998
219746,ESP,Sofia Blanco Andrade,female,U,,2000
220710,USA,Gabrielle Otero,female,R,,1994
222240,ISR,Bar Haham,female,U,,-1
103665,USA,Ryan Haviland,male,U,,1980
221833,BAR,Tangia Riley Codrington,female,U,,2001
202446,CAN,Eugenie Bouchard,female,R,178.0,1994
239128,GRE,Antonia Eleni Bazou,female,U,,-1
214594,ITA,Giulia Sartori,female,U,,1997
215492,JPN,Lisa Marie Rioux,female,U,,1997
241730,DEU,Leandra Nizetic,female,U,,-1
144815,RUS,Alexander Boborykin,male,U,,1996
